,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
11,Advanced Practice Psychiatric Nurses,0.38,2,3.38,0,4.12,1,0,0,1.75,0,2.88,2.12,3.12,3.25,0,1.38,1.38,2,4.25,3.88,0.25,2.75,2.62,0.12,3.75,0,2.75,4.38,4.5,3.25,2.88,0,4.75,0,1.62,1.25,2.88,0,0.12,3.62,3.62,3,0,1.5,2.25,2.75,0.88,2.75,2.5,0,4.25,4,3.41,4.24,0.38,3.52,3.52,2.81,3.48,5.45,0.76,1.57,5.82,1.04,5.31,0.61,0.34,1.48,1.38,1.72,3.62,3.34,0.72,4.62,3.24,4.28,1,1.55,6.59,3,1.9,5.14,1.43,6.86,1.07,4,4.25,3.38,3.88,4,0,0,0,3.25,3.75,3.62,1.75,1.88,2.88,2.5,3.88,3.75,0,1.62,0.38,3.62,0.5,0.62,4.25,0,2.75,3.75,4.5,4,3.12,3.12,0.5,3.5,0.12,4,5,Health Science,HealthSci
12,Advertising and Promotions Managers,0.5,1.25,3.88,0.12,4.5,1,0,0,0,0,3.12,1.12,3.12,4.12,0,0,0,1.25,3.88,3.75,0.38,3.12,2.38,0,4.12,0,3.12,4.38,4.75,3.88,2.75,0,4,0,0,0,2.75,0,0,3.88,4,2.75,0,0,0,2.12,0.88,2.75,3.12,0.75,4,4,4.41,0.45,0.64,0.37,4.34,5.21,4.17,5.39,2.92,2.94,3.85,1.57,4.85,2.3,0.08,1.04,2.07,1.13,2.09,3.55,0.67,0.48,3.08,2.11,0.49,2.68,2.74,2.19,5.58,2.77,1.91,1.42,1.59,4.12,4.12,3.88,4.12,4.12,0,0.12,0,3,4,3.25,3.62,2.62,3.88,3.25,4.25,3.75,0,0.62,3.12,3.88,0.75,1,4,0,0.62,3.25,4,4.12,3.12,3.75,0.75,3.88,0,3.88,4,Marketing,Marketing
13,Advertising Sales Agents,0.38,1.88,3.25,1.38,3.62,1.75,0,0,0,0,2.75,1.12,2.75,3.88,0.25,0,0,1.75,3.25,3.38,0,2.88,3,0.88,3.75,0.25,2.88,4,4,3.38,2.62,0.25,3.12,0.38,0.38,0.38,2.88,0.5,0.5,4,4,2.62,0,0,0,2.88,2,2.62,2.88,0.25,3.88,3.75,3.23,0.02,0.3,0.02,4.4,4.21,4.19,5.65,1.75,2.57,3.04,1.61,4.55,1.56,0.04,0.83,1.57,0.97,2.09,4.29,0.61,0.31,2.53,1.44,0.46,2.74,2.27,1.18,5.88,1.1,1.88,0.5,1.25,3.62,4,3.12,3.25,3.75,0,0,0,2.75,3.25,2.62,1.88,1.75,2.38,2.75,3.38,3.88,2,2,2,4,1.12,0.75,3.88,0,0,3.75,3.62,4,2.88,2.75,1.12,3,0,3.38,4,Marketing,Marketing
14,Aerospace Engineering and Operations Technicians,2.75,3,3.5,2.75,3.88,2.25,0.5,1.38,0,2,3,3.13,3.25,3.38,1,1.25,0.88,3,3.75,3.88,2.75,3,2.63,2.25,3.5,0,3,4.5,4,3,3.13,0,4,0.75,0.88,1.13,3.13,0.25,0.38,3,3,2.5,0,0.75,1.5,2.63,1.75,3.38,3.5,1.13,3.88,3.63,3.47,0.06,0.77,1.63,2.92,0.72,5.35,5.4,3.72,1.95,3.6,6.35,4.55,0.14,0,0.59,2.21,0.34,3.69,4.17,5.3,0,3.34,0.38,3.27,4.43,0.76,4.58,1.6,0.5,2.55,0.33,2.32,3.25,3.5,3.38,3.12,3.62,3.5,2.38,1.62,2.88,3.25,2.75,1.25,1.38,2.75,2.62,3.25,2.5,3.25,3.38,2.88,2.5,1.12,3.62,3.62,2.88,3.5,2.5,2.88,3.38,3,2.88,1.25,3,3.25,3.38,4,Manufacturing,Manu
15,Aerospace Engineers,0,2.62,4,0,4.75,1.75,0,0,0,0,3.12,2,3.25,4,0,0,0,2.62,4.25,4,0,4.75,2.62,0,3.88,0,3.75,4.88,4.75,4.12,3.12,0,4.12,0,0,0,3.12,0,0,3.12,3.5,2.62,0,0,0,2.75,0.62,3,3.38,0.25,5.12,4.75,2.94,0.46,2.2,2.3,3.05,1.81,4.62,3.16,5.41,1.55,2.66,6.1,4.35,0.25,0,1.16,0.76,0.22,1.72,5.57,4.48,0,2.21,0.21,4.84,4.02,0.71,2.09,1.26,0.68,1.56,0.04,2.83,3.88,4.12,4.25,3.5,4.62,0,0.38,0,3.25,3.88,3.75,1.38,1,3,4.75,3.88,3,0.62,3,5,3.12,1.75,3.88,5,0,5.12,2.75,3.12,4.25,4,3.88,3.75,3.5,2.5,4.5,4,"Science, Technology, Engineering & Mathematics",SciEng
16,"Agents and Business Managers of Artists, Performers, and Athletes",1,1.75,2.88,1.25,3.75,1.13,0,0,0,0,2.38,1.88,2,3.38,0.13,0,0,1.75,3.88,3,1,3,1.88,0.75,3.88,0,2.63,4,4.13,3.25,1.63,0,3.75,0,0,0.13,2.63,0.13,0,3.38,3.75,1.88,0,0.25,0,2.5,0.75,1.63,2.25,0,4,3.88,4.34,0.02,0.08,0,4.68,4.33,3.8,5.25,0.95,3.05,2.1,0.43,4.32,3.75,0.19,1.03,2.17,0.96,2.37,3.08,0.42,0.08,3.26,2,0.02,2.33,2.92,1.34,4.99,1.77,1.63,1.67,2.06,3.12,3.75,2.88,3.5,3.75,0,0,0,2.75,3.75,2.75,2,1.5,3,2,3.5,4,0.88,0.88,2,4.12,0.62,0,3.88,0,0.5,3.5,3.25,3.88,2.38,2.38,0.5,3.38,0,3.5,4,"Arts, Audio/Video Technology & Communications",ArtAVComm
17,Agricultural Engineers,1,2.75,4,2,4.25,2.62,0,0.5,0.5,0.75,3,2.25,3.25,3.62,0.62,0.5,0.5,2.25,4.12,4,0.88,4,2.62,1.88,3.88,0.75,3.88,4.12,4.62,3.5,3.12,0.75,4.25,0.75,1.75,0.75,3.12,0.75,0.88,3.12,3.38,2.75,0,0.62,0.62,2.88,1,2.88,3.38,0.38,4.88,4.38,4.08,4.54,4.62,4.42,3.35,2.46,4.92,4.04,5.42,2.88,4.08,6.12,4.42,0.46,4.23,2,4,1.96,3.38,5.54,4.58,0.81,3.58,1.38,5.31,3.92,2.54,3.62,3.23,2.42,2.15,0.77,3.23,3.88,4,4.38,3.25,4.25,0.88,1.38,0,3.25,4,3.12,2.38,2.62,3,4,3.75,3,2.25,3.25,3.25,3.12,1.62,2.5,4.62,0.75,3.38,3,3.25,4,3.88,3.88,3,3.62,2.12,4.25,4,"Agriculture, Food & Natural Resources",Agri
18,Agricultural Equipment Operators,3.13,2.88,2.75,3.75,2.88,3.38,0.25,1.5,0.25,2.75,2.88,3.25,2.5,1.5,1.75,1.88,1.25,3.5,2.88,3,3.13,0.25,1.38,3.63,3.13,1.75,0.5,3.63,3.5,1.25,2.63,1.75,3.13,3.13,3.38,3.13,3,1.75,1.88,2.63,2.63,1.63,2.13,1.88,3,2.13,2.75,2.63,2.38,2.13,2.63,2.13,3.97,1.55,3.7,4.39,0.76,0.22,0.82,2.12,3.84,0.99,3.2,0.78,2.71,0.03,5.39,1.23,1.49,0.07,0.43,1.44,3.19,0.2,2.41,0.06,1.55,2.72,0.58,1,0.1,0.21,1.62,0.1,0.54,1.88,3,2.38,2.5,2.88,3.12,1.75,0.38,1.88,2,0.25,0,0.25,1.88,0.25,2.38,1.38,3.75,3.5,0.5,1.75,0,2.88,2,3,1.12,1.12,2.38,2.62,1,1,0.25,1.88,3,1.75,2,"Agriculture, Food & Natural Resources",Agri
19,Agricultural Inspectors,2.75,3.12,3.62,2.38,3.88,2,0,1.12,0,1.88,3.25,2.25,3.75,2.62,1.5,1.88,1,2,3.88,3,2.12,2.25,2.25,2.38,3.75,0.88,2.25,3.88,3.88,2.5,3.25,0.88,4,1.75,2.12,1.62,3.12,0.88,2,3,3.25,3,1.75,1.75,2,2.62,2,2.62,3,1.25,3.75,3.5,3.56,2.23,1.27,2.32,3.4,1.97,3.41,4.45,1.37,1.76,3.36,2.05,3.28,0.36,3.43,1.18,2.31,0.52,3.61,3.62,2.32,0.83,2.77,1.1,0.8,3.28,2.09,3.35,1.21,1.27,1.49,1.16,2.61,3.38,3.62,3.25,3,4,0,0.12,0,2.88,3.38,3,0.75,1,2.25,2.75,4.12,2.75,2.38,3.38,1.38,2.88,0.5,3.88,4,0,2.75,2.88,2.75,3.88,3.25,3.25,0.75,2.88,1.5,3.62,2,Government & Public Administration,Govt
20,"Agricultural Sciences Teachers, Postsecondary",1.12,1.5,3.38,1.88,4.38,1.25,0,0.5,0,0.62,3,1.88,2.38,3.62,0,0.75,0.5,1.25,4.12,3.75,0.75,3.25,2.88,1.38,3.5,0,2.88,5.25,5.75,3.62,2.12,0,3.38,0.5,0.5,0.62,2.5,0,0,5.25,3.75,2.25,0,0.5,0.5,2,2.12,1.25,1.62,0.62,5,5,4.22,5.39,1.27,3.48,3.33,3.58,4.09,3.74,1.96,2.76,5.82,2.16,4.94,0.57,3.08,1.03,3.58,2.01,2.36,4.99,1.64,1.29,3.38,1.43,1.95,1.01,2.73,2.8,2.92,1.76,1.41,1.54,2.79,4.5,4.5,3.5,3.38,4.12,0,0.12,0,4.88,3.88,4.25,1.75,2,3.12,3.38,4.25,2.75,1.25,1.25,2.25,3.12,1.25,2.38,5.12,0,3.38,3,3.25,5,3.12,3.25,0.5,3.62,0.75,5,5,Education & Training,EduTrain
21,Agricultural Technicians,3,2.25,3.25,3,3.5,2.62,0.25,0.62,0,1.88,3.12,3,3,3,1.5,1.38,1.25,2.12,3.62,3.25,2.88,3,2.38,2.88,4,1.5,3,4,4,3,2.75,1.62,3.75,1.88,2.12,1.88,2.62,1.12,1.38,3,3,2,0.88,1.38,2.25,2.75,2,3.12,2.62,1.38,4,3.75,4.09,4.78,1.56,4.43,4.51,2.5,4.7,2.49,2.23,1.31,4.08,3.03,4.12,0.04,2.63,1,4.63,1.68,2.45,4.54,3.15,1.17,3.77,0.79,3.01,2.48,2.01,2.69,1.6,0.92,0.76,0.95,2.39,3,3.38,3.5,3,4,0.75,1,0,3,3,3,1.25,1.62,3,3,3.25,2.62,2.62,3,0.38,2.62,0.75,1,3.88,1.25,3,2.75,3,3.12,2.88,2.75,0.88,3,2.12,3.62,3,"Agriculture, Food & Natural Resources",Agri
22,Air Traffic Controllers,2.38,3.88,4,2.88,4.38,2.62,0,0,0,0.12,4.25,3,4.5,3.75,1.38,0,0,2.75,4,4.12,2,3.12,3,0.38,4.12,2.12,3.25,4.62,4.75,3.5,4.38,0.75,4.62,0.62,1,0.88,4.88,0.88,1,4,4.38,4.88,0,0,0,5.62,1.12,3,4.5,0.12,3.88,3.38,2.84,0.23,0.39,0.42,2.26,2.53,3.67,4.99,1.88,0.82,4.88,2.08,4.09,0.27,0,0.46,4.39,0.53,2.68,3.54,1.05,0.35,2.14,0.66,2.23,1.6,2.96,4.49,0.46,0.79,3.01,1.13,5.2,3.75,4,4.5,4,4.12,0.25,0.25,0,3.38,4.12,3.38,0.75,0.88,2.75,3,4.25,2.25,2.38,3.12,2.88,2.88,0.75,2.62,4,0.12,1.5,3.38,3.25,3.88,3.25,3.25,0.75,3.5,1.88,3.12,3,"Transportation, Distribution & Logistics",TransLog
23,Aircraft Cargo Handling Supervisors,2.62,3.25,3,3,3.12,3,0.88,2.25,1.12,3.12,3.25,2.75,3.12,3,2.25,2.25,1.88,2.75,3,3.12,3.12,2.88,2.38,3,3.25,1.25,3,3.88,3.88,3,3.12,2,3.5,2.5,3,2.62,3.5,1.75,2,3.25,3,3,2,2.5,3.75,3.12,3,2.88,3.62,2,3,2.88,4.32,1.22,0.94,1.54,4.26,2.58,4.03,5.62,1.24,2.16,4.44,2.52,4.36,0.42,1.18,2.18,3.52,0.74,3.23,3.94,2.55,1.18,3.84,0.2,2.1,3.53,3.23,4.88,1.92,0.91,3.11,1.75,4.36,2.88,3,2.88,3.5,3.5,1.88,1.62,0.12,3,3,3.62,0.88,2,3.75,2.88,3.88,2.5,2.62,2.38,1.5,2.75,0.62,2.5,3,1.88,0.5,2.62,3.25,3.12,2.75,2.62,0.75,3.5,2,3.25,2,"Transportation, Distribution & Logistics",TransLog
24,Aircraft Mechanics and Service Technicians,3.75,3.12,3.62,4,3.88,3,0.38,2.12,0.38,3.38,3.12,4.12,3.62,3,1.88,2.12,1.88,3.38,3.88,4,4.12,2.75,2.5,3.88,4.12,1.88,2.25,3.88,3.75,2.88,3.62,1.25,4,2.88,3.25,3,3.12,2,2,3,3,3,2.12,2.25,3,2.88,3,3.88,4,2.12,4.12,3.12,2.61,0.42,1.85,3.64,2.5,0.99,2.88,3.58,3.22,0.97,2.88,3.97,2.98,0.1,0.07,0.55,0.78,0.12,2.34,3.7,6.85,0.41,1.29,0.26,3.42,2.98,2.09,3.21,1.34,0.34,1.55,0.83,3.24,3.12,3.38,3.88,3,4,4.75,3,2.12,3,3.38,2.88,0.62,1.88,2.25,2.25,3.12,2.12,3.25,4,2.12,2.75,0.5,3.88,4,4.25,2.62,2.88,3,3.25,3.25,3.25,1.25,3,4,3,3,"Transportation, Distribution & Logistics",TransLog
25,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",3.12,3,3,3.38,3.25,2.75,0.25,2.12,1.12,3.5,3,3.88,2.88,2.88,1.88,2.12,2.25,2.88,3,3.62,3.25,2.12,2,3.12,3.5,1.38,2.62,3.75,3.12,2.5,3,1.75,3.38,1.88,2.75,2.38,3.38,1.88,1.75,2.88,3,2.38,1.62,2,2.75,2.5,3,3.12,3.88,2.12,3.62,2.75,2.75,0.67,1.73,2.34,1.59,1.61,2.72,2.85,3.13,1.61,3.79,2.9,3.15,0.52,0.48,0.75,1.89,0.58,1.73,3.13,3.76,1.06,2.17,0.5,1.93,3.6,1.58,2.91,1.42,0.65,1.17,1.18,2.1,3,3.12,2.88,2.88,3.12,3,2.88,3,2.88,3,2.88,1.38,1.62,2.38,2.75,3.12,2.25,2.88,3,1.38,2.25,1,3.75,3.12,3.12,1.5,2.38,2.25,3,2.88,2.62,1.88,3,2.88,3,2,Manufacturing,Manu
